AuthorId,RecipeId,Rating,Like,TestSetId
1217295B,119276,NA,NA,457
726538B,29730,2,NA,458
2001977024B,16887,2,NA,459
1519452A,46072,2,NA,460
74712C,332034,NA,NA,461
321352A,324,2,NA,462
465289A,62183,2,NA,463
2001603977B,429838,2,NA,464
2000271210B,134742,2,NA,465
2786600D,208136,2,NA,466
2786600D,43331,2,NA,467
1802503482C,66596,2,NA,468
1803534164D,38748,NA,NA,469
1225390C,288931,2,NA,470
1225390C,173513,2,NA,471
2489240C,28670,NA,NA,472
1802794779C,117148,2,NA,473
1447074E,284456,2,NA,474
1447074E,13307,2,NA,475
465679C,259497,2,NA,476
465679C,293529,NA,NA,477
465679C,514941,2,NA,478
2002237501A,14470,NA,NA,479
2002237501A,147237,NA,NA,480
2002237501A,19514,2,NA,481
2038963D,22127,2,NA,482
198026A,28445,NA,NA,483
2002030273C,105239,NA,NA,484
1802835614E,399666,NA,NA,485
2002313708B,343546,2,NA,486
272304E,100999,NA,NA,487
1707148E,221743,NA,NA,488
1374796A,150384,2,NA,489
1073513E,207702,2,NA,490
229808A,186133,2,NA,491
1529630A,29380,NA,NA,492
246720A,304233,NA,NA,493
2002223570A,122939,2,NA,494
2000169902C,39301,NA,NA,495
1982193C,96619,2,NA,496
1800064831E,236333,2,NA,497
911900C,1209,NA,NA,498
494329E,31516,2,NA,499
494329E,387616,2,NA,500
494329E,33776,2,NA,501
1527595A,90885,2,NA,502
2000997932B,80156,NA,NA,503
2761763C,245186,2,NA,504
325222B,79746,NA,NA,505
1596638D,26932,NA,NA,506
1596638D,152834,2,NA,507
2099638D,400893,2,NA,508
1803120738D,153191,NA,NA,509
2001268487A,261889,2,NA,510
1268969D,450320,2,NA,511
224801C,94964,2,NA,512
328164B,159606,2,NA,513
164345D,70097,2,NA,514
187388B,28094,2,NA,515
187388B,15646,NA,NA,516
888966C,78814,NA,NA,517
1054649A,33671,NA,NA,518
1217134B,58660,2,NA,519
2527796A,80350,NA,NA,520
115239A,143126,NA,NA,521
2001617061C,164780,NA,NA,522
2002720401E,75316,NA,NA,523
192531C,28208,NA,NA,524
2001729223A,41218,2,NA,525
2001729223A,63501,2,NA,526
479071B,176731,NA,NA,527
2825229D,10140,NA,NA,528
641222E,77397,2,NA,529
1946418A,431399,NA,NA,530
2501843A,96886,NA,NA,531
2002365857B,305306,2,NA,532
150727A,77201,NA,NA,533
2001684228A,181870,NA,NA,534
1309933B,26451,NA,NA,535
1533752C,38298,NA,NA,536
2000111522D,13656,2,NA,537
78953E,11571,2,NA,538
2001760200D,22782,2,NA,539
1104029D,303645,NA,NA,540
537668C,89751,NA,NA,541
537668C,88910,2,NA,542
2000212880D,52008,2,NA,543
716106E,150778,2,NA,544
1106285A,115947,2,NA,545
2000094056A,79431,NA,NA,546
2000094056A,331024,2,NA,547
2000094056A,56538,2,NA,548
774456C,49203,2,NA,549
2001895436A,314202,2,NA,550
1399984A,81171,2,NA,551
139795D,192346,NA,NA,552
2000716877B,233481,2,NA,553
2000459964B,179050,2,NA,554
2646992D,79917,2,NA,555
1803338713A,18039,2,NA,556
1996776A,40047,2,NA,557
2002587306A,368209,2,NA,558
1802718366D,9351,NA,NA,559
1802718366D,4627,2,NA,560
1435713B,84775,2,NA,561
1541559C,49813,NA,NA,562
286589C,10211,2,NA,563
8713029E,82591,2,NA,564
28105E,111372,NA,NA,565
46264136D,197059,NA,NA,566
2524930E,30555,NA,NA,567
2002602002A,58497,NA,NA,568
1424855D,224770,2,NA,569
1018447A,349246,NA,NA,570
445244A,25502,2,NA,571
538146D,61195,2,NA,572
538146D,87962,2,NA,573
538146D,116655,2,NA,574
538146D,173832,2,NA,575
538146D,34382,2,NA,576
538146D,34499,NA,NA,577
1300866D,2708,NA,NA,578
1802490366A,56139,2,NA,579
1802490366A,47600,2,NA,580
2686834A,96521,2,NA,581
114449D,102457,NA,NA,582
114449D,202634,NA,NA,583
2002249419D,125515,2,NA,584
2000887202D,113860,NA,NA,585
59812E,10712,NA,NA,586
282250C,22984,NA,NA,587
203475D,99476,NA,NA,588
203475D,44889,NA,NA,589
272510E,33352,2,NA,590
568689E,73583,2,NA,591
2001210693E,107701,NA,NA,592
680179A,190061,NA,NA,593
962394B,420398,2,NA,594
1229184C,140999,2,NA,595
2001636930A,225123,2,NA,596
2846685E,41463,NA,NA,597
2000778928E,94219,2,NA,598
2743934A,53599,2,NA,599
2002394386C,22512,2,NA,600
2002394386C,20131,2,NA,601
1213149A,26531,NA,NA,602
2208322C,109856,2,NA,603
828089D,113762,2,NA,604
2002354484E,61393,NA,NA,605
2056075D,198707,2,NA,606
805131C,241451,NA,NA,607
994942B,264191,2,NA,608
2375402D,148726,NA,NA,609
911441B,117229,NA,NA,610
151591A,237395,2,NA,611
115470E,343611,NA,NA,612
428229B,80471,NA,NA,613
1332021D,33671,2,NA,614
2002671856A,217140,NA,NA,615
2001931498B,268654,NA,NA,616
127258D,95524,NA,NA,617
1914675E,63828,2,NA,618
2000368794B,73362,2,NA,619
1921465A,89124,2,NA,620
74590C,44800,NA,NA,621
524709D,522608,2,NA,622
735086A,208263,2,NA,623
244563D,73922,NA,NA,624
244563D,2933,NA,NA,625
1552616B,166789,2,NA,626
1552616B,123919,2,NA,627
1552616B,53594,2,NA,628
1552616B,212411,NA,NA,629
1552616B,31972,NA,NA,630
575507E,48401,2,NA,631
399038D,32566,NA,NA,632
2001044411B,427411,NA,NA,633
2002900935C,32386,NA,NA,634
527011D,33671,2,NA,635
2001664234E,243562,2,NA,636
2002267704D,332089,NA,NA,637
456797A,429589,NA,NA,638
527875A,70486,NA,NA,639
527875A,135350,NA,NA,640
527875A,39087,2,NA,641
527875A,104150,2,NA,642
527875A,54225,2,NA,643
6127B,499517,2,NA,644
314280E,94164,NA,NA,645
767727E,109283,NA,NA,646
2868965A,80156,NA,NA,647
2001525147E,44223,NA,NA,648
1829140D,286892,NA,NA,649
1977775C,14689,NA,NA,650
74732D,1209,NA,NA,651
2001865983E,134577,2,NA,652
2587205C,22062,2,NA,653
772391B,257429,2,NA,654
2125014A,142221,2,NA,655
42595502E,382998,2,NA,656
2000410057D,27554,NA,NA,657
64521B,38298,NA,NA,658
2245729C,92257,2,NA,659
1803088875A,17911,NA,NA,660
1656178C,37457,NA,NA,661
1656178C,143690,2,NA,662
1803431933D,12619,2,NA,663
2001666877B,420398,NA,NA,664
2591661C,384745,NA,NA,665
891766B,488797,2,NA,666
434662C,252920,2,NA,667
1442173B,199363,2,NA,668
2785450B,27864,2,NA,669
695944A,344309,2,NA,670
349030D,61816,2,NA,671
2001869883C,99476,2,NA,672
99058D,18556,NA,NA,673
99058D,108908,NA,NA,674
1793667C,348802,2,NA,675
1802524345D,83506,2,NA,676
1578084C,424048,NA,NA,677
2001432505C,472743,2,NA,678
273026E,368735,NA,NA,679
663292E,144926,2,NA,680
663292E,14906,NA,NA,681
165865E,55854,2,NA,682
2001283111C,26820,NA,NA,683
978687C,113914,NA,NA,684
978687C,225456,NA,NA,685
978687C,401849,NA,NA,686
2002295619B,82132,2,NA,687
2002295619B,83189,2,NA,688
2002295619B,122412,NA,NA,689
2096682E,132263,2,NA,690
2774626C,106167,NA,NA,691
2001717470A,179821,2,NA,692
2615576E,37701,NA,NA,693
1717459E,537564,NA,NA,694
921012A,241150,2,NA,695
2002200565B,181106,NA,NA,696
2000492574E,12458,NA,NA,697
1283999B,21085,2,NA,698
1800104829A,79072,2,NA,699
367302E,44398,2,NA,700
2488848E,27208,NA,NA,701
334505D,40982,2,NA,702
2001508337C,420398,NA,NA,703
1072003D,68063,NA,NA,704
633586B,111372,2,NA,705
137444E,78040,NA,NA,706
137444E,48771,2,NA,707
1276124C,23740,NA,NA,708
591223A,53914,NA,NA,709
2000988421E,264191,NA,NA,710
2000415472B,24044,2,NA,711
945540E,33671,NA,NA,712
1013468E,57025,2,NA,713
1564727A,31516,2,NA,714
1564727A,100727,2,NA,715
1178712C,168367,2,NA,716
1926132D,39027,2,NA,717
2152424E,317773,2,NA,718
2000999131E,23824,2,NA,719
1598527E,493958,2,NA,720
1661616A,225387,NA,NA,721
2002314598D,14352,2,NA,722
2036594A,166260,NA,NA,723
2696370B,306761,NA,NA,724
2002147012D,2526,2,NA,725
2002147012D,20155,2,NA,726
44754688B,53854,2,NA,727
1853093E,32783,2,NA,728
1803625047D,155194,NA,NA,729
607138B,107701,2,NA,730
2001720795D,420398,NA,NA,731
2000369886A,102339,NA,NA,732
2002882325B,11001,2,NA,733
107425E,100727,NA,NA,734
1632692C,32614,2,NA,735
1632692C,144252,2,NA,736
1803003324E,163619,NA,NA,737
1134742A,118263,2,NA,738
1438160E,16531,2,NA,739
1417826C,72559,NA,NA,740
1417826C,99669,2,NA,741
1802801253C,386302,NA,NA,742
1641544D,822,NA,NA,743
267276D,10045,2,NA,744
2002114651E,493413,NA,NA,745
629291E,145212,2,NA,746
1800835309B,316546,2,NA,747
2000847106D,48603,NA,NA,748
2001271769E,534899,2,NA,749
2002039700D,26033,NA,NA,750
2002039700D,221696,2,NA,751
2002712720C,503794,2,NA,752
2001953379C,49492,2,NA,753
2014802D,185432,NA,NA,754
43083B,512615,2,NA,755
2001265861B,93886,2,NA,756
2001885E,344683,2,NA,757
1405730B,133124,NA,NA,758
707081D,83625,2,NA,759
1555166C,28954,2,NA,760
2001256541A,41662,NA,NA,761
1205119B,34753,NA,NA,762
2000287063A,876,2,NA,763
945124B,3857,NA,NA,764
2001468632C,63712,2,NA,765
1519634A,55438,NA,NA,766
1802815265D,339453,2,NA,767
1367169A,13982,2,NA,768
239943C,16871,2,NA,769
239943C,211842,NA,NA,770
1665064C,27634,2,NA,771
25175A,32880,2,NA,772
1377573E,104852,NA,NA,773
2002788916D,128956,2,NA,774
2001046197B,84637,2,NA,775
2682438B,90323,NA,NA,776
2001344851D,134579,2,NA,777
1445022C,10428,2,NA,778
2002249292A,42846,2,NA,779
1692408C,125080,NA,NA,780
1636394A,100092,NA,NA,781
2000632687E,416329,NA,NA,782
536930E,69630,NA,NA,783
1446484C,493413,NA,NA,784
1758081A,139406,NA,NA,785
1443918D,365510,2,NA,786
239965E,109220,2,NA,787
2001836569B,45108,2,NA,788
2001836569B,50342,NA,NA,789
2001836569B,18970,NA,NA,790
2001836569B,107235,NA,NA,791
1803063825C,17086,NA,NA,792
1614553D,420398,2,NA,793
2002249263C,105503,2,NA,794
2000641263C,475201,2,NA,795
156886E,22611,NA,NA,796
2002398687B,140411,NA,NA,797
1803596762D,9374,2,NA,798
2002141714B,1428,NA,NA,799
91435C,95414,2,NA,800
737389D,241796,2,NA,801
181677B,169500,2,NA,802
2000853316A,33752,NA,NA,803
1829525C,132263,NA,NA,804
879868E,275906,2,NA,805
2002060349E,131870,NA,NA,806
829216E,52986,NA,NA,807
1524085D,47077,2,NA,808
1591783B,132263,2,NA,809
2002354324B,146012,2,NA,810
2002354324B,443640,2,NA,811
436032E,56340,2,NA,812
2002214627E,451233,2,NA,813
989869B,209427,2,NA,814
989869B,195086,NA,NA,815
989869B,12222,NA,NA,816
989869B,185404,2,NA,817
2002173042E,176207,2,NA,818
275317A,22691,2,NA,819
275317A,223260,NA,NA,820
2001384038E,215529,2,NA,821
2799846E,32296,NA,NA,822
2799846E,209903,NA,NA,823
2000547280B,335857,2,NA,824
638687C,196141,2,NA,825
2007901C,28768,2,NA,826
704492B,105830,2,NA,827
2000011272C,30358,2,NA,828
2000011272C,49644,NA,NA,829
2001001580A,406057,NA,NA,830
2001001580A,154400,NA,NA,831
2001001580A,75939,NA,NA,832
1142487B,373964,2,NA,833
2001060157B,89207,2,NA,834
859058B,116989,NA,NA,835
859058B,18296,NA,NA,836
859058B,195869,NA,NA,837
11835C,8029,2,NA,838
11835C,227371,2,NA,839
499415A,123030,2,NA,840
499415A,219233,2,NA,841
499415A,129626,NA,NA,842
488664E,169242,2,NA,843
2001443389D,11619,2,NA,844
1822709C,124807,NA,NA,845
693995D,36013,NA,NA,846
1803167875E,65049,2,NA,847
2001728660D,461008,NA,NA,848
801398A,227151,NA,NA,849
801398A,32503,2,NA,850
824010C,142735,2,NA,851
1802584516E,8925,NA,NA,852
2030482D,114177,NA,NA,853
2099217E,208556,NA,NA,854
1802492114A,68989,NA,NA,855
942746D,19155,NA,NA,856
1800036863E,168802,2,NA,857
872836E,181838,NA,NA,858
2000993319B,297900,2,NA,859
1218997D,315511,2,NA,860
125579A,33671,2,NA,861
390382E,12192,2,NA,862
2082308D,298234,2,NA,863
614373B,93494,2,NA,864
1802687299D,257404,2,NA,865
2943911D,135323,2,NA,866
1575301E,84247,2,NA,867
1575301E,43817,NA,NA,868
27057A,322546,2,NA,869
1803513952B,167467,NA,NA,870
2002795592E,96668,2,NA,871
2002795592E,13388,2,NA,872
2002795592E,33752,2,NA,873
2001352059E,95823,NA,NA,874
454408C,105260,NA,NA,875
1802383073C,52230,NA,NA,876
1557668C,251894,NA,NA,877
591205B,94116,2,NA,878
2001550044B,20907,NA,NA,879
2002213743E,30602,2,NA,880
859159E,103199,2,NA,881
576157B,127150,2,NA,882
815634C,137624,NA,NA,883
1800092348E,57305,NA,NA,884
1378387C,191098,2,NA,885
1705479B,12981,NA,NA,886
1361210D,39180,2,NA,887
491390E,279137,NA,NA,888
2001681927E,196020,2,NA,889
2001671053A,86717,2,NA,890
608544A,102858,2,NA,891
2002628125E,22782,NA,NA,892
1569186D,80254,NA,NA,893
1569186D,104636,2,NA,894
2002648954E,18434,2,NA,895
930656A,281116,2,NA,896
1214183B,48346,2,NA,897
92195C,6627,NA,NA,898
361828E,110140,2,NA,899
361828E,316188,NA,NA,900
2363329A,124194,NA,NA,901
856156C,34909,2,NA,902
795665E,71499,NA,NA,903
795665E,24565,2,NA,904
